기준년월,기간귀속,플랜트,자재유형,자재코드,계정코드,단위,기초수량,기초단가,기초금액,생산입고수량,생산입고단가,생산입고금액,구매입고수량,구매입고단가,구매입고금액,이동입고수량,이동입고단가,이동입고금액,기타입고수량,기타입고단가,기타입고금액,생산출고수량,생산출고단가,생산출고금액,판매출고수량,판매출고단가,판매출고금액,이동출고수량,이동출고단가,이동출고금액,기타출고수량,기타출고단가,기타출고금액,기말수량,기말단가,기말금액,비고
201512,전기,3000,제공품,77122-2L200,1120300,EA,175,2320.0914285714284,406016,860,2320.09,1995278,0,0,0,0,0,0,0,2320.09,0,775,2257,1749813,0,0.0,0,0,0,0,0,2257.82,0,260,2505.7,651481,0
201512,전기,3000,제공품,71402-2L000,1120300,EA,32,13199.125,422372,25,13199.16,329979,0,0,0,0,0,0,0,13199.16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,57,0.0,752351,0
201512,전기,3000,제공품,71202-2S010,1120300,EA,17,24964.29411764706,424393,12713,24964.33,317371540,0,0,0,0,0,0,0,24964.33,0,12726,24963,317688109,0,0.0,0,0,0,0,0,24963.7,0,4,0.0,107824,0
201512,전기,3000,제공품,76123-39000,1120300,EA,108,3984.1574074074074,430289,1422,3984.15,5665459,0,0,0,0,0,0,0,3984.15,0,1530,3984,6095748,0,0.0,0,0,0,0,0,3984.15,0,0,0.0,0,0
201512,전기,3000,제공품,69300-2H010,1120300,EA,42,10408.182619047619,437143,10,10408.17,104082,0,0,0,0,0,0,38,10408.17,395510,39,10408,405919,0,0.0,0,0,0,0,51,10408.17,530817,0,0.0,0,0
201512,전기,3000,제공품,71201-2Q000,1120300,EA,61,7220.540819672135,440452,569,7220.55,4108491,0,0,0,0,0,0,11,7220.55,79426,529,7157,3786290,0,0.0,0,0,0,0,11,7157.45,78732,101,7557.9,763348,0
201512,전기,3000,제공품,64300-3X902,1120300,EA,13,36371.07692307692,472824,222,36371.05,8074373,0,0,0,0,0,0,0,36371.05,0,220,36371,8001631,0,0.0,0,0,0,0,15,36371.05,545566,0,0.0,0,0
201512,전기,3000,제공품,71202-2Q000,1120300,EA,67,7196.0761194029865,482137,559,7196.08,4022606,0,0,0,0,0,0,12,7196.08,86352,521,7130,3714858,0,0.0,0,0,0,0,12,7130.25,85563,105,7530.24,790675,0
201512,전기,3000,제공품,69300-3L250,1120300,EA,27,18669.444444444445,504075,0,18669.48,0,0,0,0,0,0,0,25,18669.48,466737,0,0,0,0,0.0,0,0,0,0,0,0.0,0,52,18669.46,970812,0
201512,전기,3000,제공품,71201-2S010,1120300,EA,21,25014.761904761905,525310,12715,25014.76,318062647,0,0,0,0,0,0,0,25014.76,0,12724,25012,318263873,0,0.0,0,0,0,0,0,25012.88,0,12,27007.0,324084,0
201512,전기,3000,제공품,71402-3N800,1120300,EA,18,30240.777777777777,544334,472,30240.75,14273633,0,0,0,0,0,0,0,30240.75,0,475,30639,14553835,0,0.0,0,0,0,0,0,30639.65,0,15,0.0,264132,0
201512,전기,3000,제공품,71401-3N800,1120300,EA,18,30242.38888888889,544363,474,30242.37,14334883,0,0,0,0,0,0,0,30242.37,0,477,30639,14615114,0,0.0,0,0,0,0,0,30639.65,0,15,17608.8,264132,0
201512,전기,3000,제공품,64160-2C001,1120300,EA,64,8623.25453125,551888,420,8623.26,3621767,0,0,0,0,0,0,85,8623.26,732976,492,8623,4242641,0,0.0,0,0,0,0,77,8623.25,663991,0,0.0,0,0
201512,전기,3000,제공품,71640-2V900,1120300,EA,121,4574.206611570248,553479,6695,4574.2,30624294,0,0,0,0,0,0,0,4574.2,0,6757,4566,30858639,0,0.0,0,0,0,0,0,4566.91,0,59,5409.05,319134,0
201512,전기,3000,제공품,69100-2H020,1120300,EA,68,8163.47926470588,555116,481,8163.48,3926634,0,0,0,0,0,0,53,8163.48,432664,563,8139,4582754,0,0.0,0,0,0,0,12,8139.88,97679,27,8666.0,233982,0
201512,전기,3000,제공품,71575-2H600,1120300,EA,120,4896.454000000003,587574,3116,4896.45,15257332,0,0,0,0,0,0,19,4896.45,93032,3084,4878,15045908,0,0.0,0,0,0,0,2,4878.7,9757,169,5220.56,882274,0
201512,전기,3000,제공품,77123-2L000,1120300,EA,484,1227.3181818181818,594022,2533,1227.32,3108795,0,0,0,0,0,0,0,1227.32,0,2400,1193,2865072,0,0.0,0,0,0,0,0,1193.78,0,617,0.0,837745,0
201512,전기,3000,제공품,71401-2L000,1120300,EA,48,13234.041666666666,635234,23,13234.04,304383,0,0,0,0,0,0,0,13234.04,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,71,0.0,939617,0
201512,전기,3000,제공품,71661-2W000Y,1120300,EA,88,7245.329545454545,637589,2,7245.5,14491,0,0,0,0,0,0,0,7245.5,0,90,7245,652080,0,0.0,0,0,0,0,0,7245.33,0,0,0.0,0,0
201512,전기,3000,제공품,71651-2W000Y,1120300,EA,90,7298.7,656883,2,7298.5,14597,0,0,0,0,0,0,0,7298.5,0,92,7298,671480,0,0.0,0,0,0,0,0,7298.7,0,0,0.0,0,0
201512,전기,3000,제공품,71630-2V900,1120300,EA,153,4497.843137254902,688170,6705,4497.84,30158007,0,0,0,0,0,0,0,4497.84,0,6721,4481,30117615,0,0.0,0,0,0,0,0,4481.12,0,137,5317.97,728562,0
201512,전기,3000,제공품,71201-2S300,1120300,EA,28,25290.214285714286,708126,10072,25290.19,254722769,0,0,0,0,0,0,0,25290.19,0,10037,25277,253711093,0,0.0,0,0,0,0,0,25277.58,0,63,0.0,1719802,0
201512,전기,3000,제공품,64120-3A001,1120300,EA,70,10368.852428571428,725819,150,10368.87,1555331,0,0,0,0,0,0,331,10368.87,3432096,461,10563,4869550,0,0.0,0,0,0,0,0,10563.02,0,90,9374.41,843697,0
201512,전기,3000,제공품,64300-2S800,1120300,EA,18,41950.72222222222,755113,739,41950.74,31001599,0,0,0,0,0,0,0,41950.74,0,757,41950,31756712,0,0.0,0,0,0,0,0,41950.74,0,0,0.0,0,0
201512,전기,3000,제공품,71201-2S310,1120300,EA,32,24811.53125,793969,7717,24811.56,191470777,0,0,0,0,0,0,0,24811.56,0,7718,24803,191434397,0,0.0,0,0,0,0,0,24803.63,0,31,26785.45,830349,0
201512,전기,3000,제공품,71202-2S310,1120300,EA,35,24762.371428571427,866683,7714,24762.38,191016961,0,0,0,0,0,0,0,24762.38,0,7718,24754,191054872,0,0.0,0,0,0,0,0,24754.45,0,31,0.0,828772,0
201512,전기,3000,제공품,71606-3J200,1120300,EA,137,6551.656934306569,897577,5762,6551.66,37750655,0,0,0,0,0,0,0,6551.66,0,5713,6521,37256320,0,0.0,0,0,0,0,47,6521.32,306502,139,0.0,1085410,0
201512,전기,3000,제공품,76214-39000,1120300,EA,300,2992.2966666666666,897689,1873,2992.3,5604571,0,0,0,0,0,0,0,2992.3,0,2173,2992,6502260,0,0.0,0,0,0,0,0,2992.3,0,0,0.0,0,0
201512,전기,3000,제공품,76224-39000,1120300,EA,300,2992.2966666666666,897689,1800,2992.3,5386134,0,0,0,0,0,0,0,2992.3,0,2100,2992,6283823,0,0.0,0,0,0,0,0,2992.3,0,0,0.0,0,0
201512,전기,3000,제공품,71620-B8200,1120300,EA,33,27616.191212121284,911334,3322,27616.17,91740914,0,0,0,0,0,0,10,27616.17,276161,3316,27581,91460060,0,0.0,0,0,0,0,10,27581.44,275814,39,30577.85,1192536,0
201512,전기,3000,제공품,71605-3J200,1120300,EA,149,6153.436241610738,916862,5788,6153.44,35616102,0,0,0,0,0,0,0,6153.44,0,5738,6121,35126044,0,0.0,0,0,0,0,47,6121.65,287718,152,7363.17,1119202,0
201512,전기,3000,제공품,69131-3N700,1120300,EA,80,11654.600499999895,932368,17338,11654.6,202067436,0,0,0,0,0,0,35,11654.6,407910,17279,11644,201211302,0,0.0,0,0,0,0,26,11644.85,302766,148,12794.91,1893647,0
201512,전기,3000,제공품,71231-2S000,1120300,EA,140,6957.371428571429,974032,0,6957.37,0,0,0,0,0,0,0,150487,6957.37,1046994250,149367,6956,1039081453,0,0.0,0,0,0,0,0,6956.57,0,1260,7053.04,8886829,0
201512,전기,3000,제공품,71585-2H600,1120300,EA,208,4923.714278846155,1024132,3100,4923.72,15263519,0,0,0,0,0,0,2,4923.72,9847,3185,4911,15641959,0,0.0,0,0,0,0,2,4911.13,9822,123,5249.74,645718,0
201512,전기,3000,제공품,69100-2H010,1120300,EA,130,8028.671769230756,1043727,8933,8028.67,71720087,0,0,0,0,0,0,4,8028.67,32114,8534,7996,68242527,0,0.0,0,0,0,0,45,7996.55,359845,488,8593.35,4193557,0
201512,전기,3000,제공품,64300-3X901,1120300,EA,30,36424.988999999565,1092749,6473,36425.02,235779168,0,0,0,0,0,0,15,36425.02,546375,6367,36353,231461235,0,0.0,0,0,0,0,0,36353.26,0,151,39450.72,5957058,0
201512,전기,3000,제공품,64300-3X050,1120300,EA,38,29967.46894736039,1138763,197359,29967.48,5914352826,0,0,0,0,0,0,54,29967.48,1618244,195873,29947,5865814533,0,0.0,0,0,0,0,54,29947.03,1617140,1524,32597.22,49678161,0
201512,전기,3000,제공품,71640-2V000,1120300,EA,280,4347.982142857143,1217435,54616,4347.98,237469365,0,0,0,0,0,0,0,4347.98,0,54681,4343,237480406,0,0.0,0,0,0,0,0,4343.02,0,215,5611.13,1206394,0
